Patch_Length_mm,Patch_Width_mm,Slot_Length_mm,Slot_Width_mm,Substrate_Height_mm,Relative_Permittivity,Frequency_GHz,Gain_dB,Directivity,S11_dB,Bandwidth_MHz,Radiation_Efficiency,Impedance_Match
42.39089062291406,23.478581413546962,15.386436903391512,13.16318914906986,1.9296814819678993,3.1257453387071426,4.425516171002844,10.960229104308603,8.11029163480744,-12.349328597737575,20.0,78.61323980710506,50.46253523907366
43.23375955999814,43.01684025836861,10.55850661908018,13.908998622448719,4.663286415253371,4.001405244509459,3.8684460931946623,9.676761056399382,8.098271663690173,-12.567252535231706,20.0,69.67001382872057,49.28793482830088
58.468744070373035,21.551567368421665,17.476917763439218,9.470807314698865,3.7109322609731916,2.7857861622836166,1.4508228751337104,9.739499232698389,8.652270544701679,-10.411054363130143,41.98488548568355,86.4744892165592,51.035899963774895
49.28531147907871,25.224329727851384,7.52922133037755,11.882124575830508,3.43319604175912,3.210644499756473,1.4237459573932911,10.30909547340077,7.399601242821144,-10.53481806758513,20.0,79.67360990711508,50.08866553060911
34.38749179774227,25.15140213913444,11.326890523339259,14.37801113249851,2.3803394233630915,3.746225919182658,1.7288269267577911,10.147432909807979,6.987259069754345,-8.910157307081002,20.0,72.9204225444987,49.427619080113814
37.9059289443898,42.261432550437824,13.656390650604035,11.396773848330595,4.3571430431452765,2.8255167270017694,3.3140836507813747,10.732895742389982,7.9274424705203606,-9.796023945197266,23.991209203795115,66.31701756381423,50.386049320184306
54.024123269841525,41.15360894489132,7.468924338951087,8.976083241435541,4.274947597343678,3.5260442518287745,2.024167066013165,10.100774243108955,8.612314481459446,-10.537407942181693,60.89703161244921,73.93394616836953,50.132604613134426
52.24101777075027,29.17114560157797,19.747896707598702,6.677261291594732,3.8104510787061474,2.5114534737115406,3.9490202453374095,9.317253911640803,8.30777753079302,-11.726152061856787,72.69333964098134,83.07589376989286,49.82767747666745
30.656425467062864,25.575244095891474,10.860886618539887,8.755576878388327,4.568807057362582,2.7823257005776396,4.209857414871751,9.776897121265797,7.1868862583240105,-11.34996981659557,50.98240494207682,73.89044353759384,50.14670153528592
49.594348014052834,30.62890285073823,14.00954452373438,4.200568746526496,1.8941652420613027,2.459164642615613,3.554719140744081,10.173309337807073,8.319634602238748,-10.94999209529473,81.85188733475842,80.22451600713836,50.26203823310512
22.829909208302475,39.54971762415465,9.359261655138262,14.467679675148645,4.693936260464644,2.0088616644579185,2.4273811506422334,10.438251944189632,6.9848814903799745,-11.325971851230301,20.0,65.59839538995658,49.72233257441282
42.16874053473064,36.35044233666962,12.888340745611,9.321631333970949,2.7907560931806854,3.042940753405024,1.4658582845937347,9.93002645359597,7.720843080746474,-9.766829107434498,38.54152272922359,73.10339007512836,48.95473655256969
47.269875062710895,34.7717937955492,18.90067469595482,13.459073924810015,1.584782093989738,2.295499676699517,1.4714118486493648,9.848090457028258,8.593868473812872,-10.416984765408648,20.0,79.23753153593444,50.26019778788644
34.498672699287695,46.98163245644119,9.317123316952522,10.163358157018934,1.3958794652073734,4.134654237285943,1.0874349924620836,10.557001458670811,6.728621754630249,-12.036169705809352,20.0,63.048310314999945,49.42506540031403
59.3095625098402,32.56408134827146,10.813034395771798,4.818418570175316,3.221387964368651,2.784883202660742,2.607246047762782,10.586111842987783,8.262895673538909,-9.063625968231415,81.23159546485167,84.70406561441924,49.10047915092679
26.779678773587285,40.892458310832424,6.477327599843375,12.487236164844777,3.3934348785583492,3.8182718515430913,1.9459367404927095,11.144846868610399,6.630032051040213,-8.669525110448069,20.0,63.0170839726991,51.05388980623445
39.73188062286532,26.610793351948985,13.399720468221602,3.6305504737937744,1.2705407082041114,2.296082380187143,4.229595931609442,10.03489505836703,7.206619997009686,-12.696852481981347,75.10857132400972,75.53591356753924,49.45396245288903
21.364432913945507,27.91061857157011,17.539876968576912,8.42430891492007,2.381521066727935,3.937888670002506,2.03395751701906,11.088547983964357,7.019477966354267,-9.70541830077282,35.97189935050946,66.55318263099831,49.3119935384554
47.68975447270435,21.679992352389828,15.260530022420582,14.167479600198432,3.723226305215524,3.5390901613043337,1.3521721680659047,9.818324910047366,8.450233048375162,-10.92837742261437,20.0,82.80434807008501,50.21920567912982
